fine_topics,year,paper_count
network analysis,2023,1
neural architecture search,2024,1
neural architectures,2022,1
neural coherence models,2023,1
neural collaborative filtering,2024,1
neural generation,2021,1
neural methods,2021,1
neural methods,2022,1
neural models,2022,2
neural module networks,2021,1
neural network analysis,2023,1
neural network simulations,2021,1
neural networks,2022,1
neural networks,2023,2
neural ranking,2022,1
neural text classification,2024,1
neural-symbolic,2021,16
neural-symbolic,2022,16
neural-symbolic,2023,11
neural-symbolic,2024,6
neuro-symbolic,2023,2
neuro-symbolic,2024,1
neurosymbolic semantic parsing,2024,1
news discourse profiling,2021,1
news media profiling,2024,1
node representation learning,2023,1
noise detection,2023,1
noise filtering,2021,1
noise handling,2022,2
noise injection,2023,1
noise learning,2023,1
noise reduction,2021,3
noise reduction,2022,1
noise reduction,2023,2
noise regularization,2024,1
noise robustness,2023,2
noise-robust learning,2021,1
noise-robust training,2023,1
noisy channel model,2024,1
noisy training,2022,1
non-IID data handling,2023,1
non-autoregressive decoding,2021,1
non-autoregressive decoding,2023,2
non-autoregressive decoding,2024,1
non-autoregressive generation,2021,2
non-autoregressive generation,2022,1
non-autoregressive generation,2023,1
non-autoregressive modeling,2021,1
non-autoregressive modeling,2023,1
non-autoregressive models,2021,2
non-autoregressive models,2022,1
non-autoregressive parsing,2023,1
non-autoregressive translation,2023,1
non-collaborative dialogue,2024,1
non-generative methods,2022,1
non-parametric learning,2024,1
non-parametric methods,2022,1
normalization,2023,1
normalization techniques,2022,1
novel relation detection,2023,1
numeracy,2021,1
numerical calculation,2023,1
numerical reasoning,2021,5
numerical reasoning,2022,3
numerical reasoning,2023,3
numerical reasoning,2024,1
numerical reasoning over measurements,2022,1
numerical stability,2023,1
numerical time series,2024,1
object detection,2024,1
object localization,2023,2
object-centric image editing,2023,1
off-policy evaluation,2021,1
offensive language detection,2023,1
offline RL,2023,2
offline RLHF,2024,1
offline reinforcement learning,2024,1
one-shot learning,2022,1
online learning,2023,1
ontology integration,2021,1
ontology usage,2023,1
ontology-based methods,2023,1
ontology-guided NER,2021,1
open information extraction,2021,1
open information extraction,2023,2
open information extraction,2024,1
open-domain QA,2021,9
open-domain QA,2022,8
open-domain QA,2023,10
open-domain QA,2024,8
open-ended commonsense reasoning,2023,1
open-ended generation,2023,1
open-source datasets,2024,1
open-vocabulary modeling,2022,1
open-world IE/entity profiling,2023,1
open-world learning,2023,2
opinion mining,2024,1
opinion modeling,2024,1
opinion term extraction,2021,1
optical flow features,2023,1
optimal transport,2022,1
optimal transport,2023,1
optimal transport,2024,1
optimization,2022,3
optimization,2023,3
optimization,2024,1
optimization algorithms,2022,1
optimization algorithms,2023,1
optimization algorithms,2024,1
optimization methods,2023,2
optimization stability,2024,1
optimization subspace,2022,1
optimization techniques,2023,1
optimization techniques,2024,1
optimization/combinatorial,2023,1
order bias mitigation,2024,1
order-invariance,2022,1
other:3D human generation,2023,1
other:3D motion generation,2024,1
other:3D pose normalization for sign language,2023,1
other:3D referring expression comprehension,2023,1
other:3D shape editing,2022,1
other:AI prototyping interface,2021,1
other:AI-generated text detection,2023,1
other:AMR applications survey,2024,1
other:API orchestration,2024,1
other:API recommendation,2021,1
other:API-assisted code generation,2023,1
other:African languages sentiment,2023,1
other:Arabic NLG benchmark,2023,1
other:Arabic NLP,2022,1
other:Arabic NLP evaluation,2023,1
other:Bayesian transfer regularizers,2023,1
other:Boolean logic in retrieval,2024,1
other:CFG-based evaluation,2024,1
other:ChatGPT-assisted networks,2023,1
other:Chinese phonetic and glyph features fusion,2022,1
other:Chinese spelling check,2024,1
other:Chinese spelling check detection and reasoning,2023,1
other:Chinese text error correction,2021,1
other:DRT parsing,2024,1
other:Fermi problems reasoning challenge,2021,1
other:GANs for sequence labeling,2024,1
other:HTML understanding,2023,1
other:ICL accuracy estimation,2023,1
other:IGT generation,2024,1
other:LLM agent experiential reasoning,2024,1
other:LLM collaboration consistency,2023,1
other:LLM communication networks,2024,1
other:LLM decoding for recommendation,2024,1
other:LLM evaluation analysis,2023,1
other:LLM evaluator assessment,2024,1
other:LLM fine-tuning for reasoning,2024,1
other:LLM simulation of debates,2024,1
other:LLM source identification,2023,1
other:LLM unlearning optimization,2024,1
other:LLM-based annotation generation,2024,1
other:LLM-enhanced data generation,2023,1
other:LLM-generated annotation assessment,2024,1
other:LLM-generated annotation utilization,2024,1
other:LLMs as reviewers,2024,1
other:Learn-Babble-Prune,2023,1
other:M-tree coding,2022,1
other:Monte Carlo Tree Search,2023,1
other:NEFTune method,2024,1
other:NL-FOL translation,2024,1
other:NLG evaluation metrics,2022,1
other:NLG metric evaluation,2021,1
other:NLP4SG paper identification,2023,1
other:Norwegian language modeling,2024,1
other:OCR error correction,2023,1
other:OCR error correction and deduplication,2021,1
other:OCR-free text recognition,2023,1
other:QA with source citation in ambiguous settings,2024,1
other:QA-based semantic parsing,2022,1
other:Romanian LLMs,2024,1
other:SQL-to-question generation,2021,1
other:Shapley value guided search,2021,1
other:UI entity recognition,2022,1
other:UI representation,2022,1
other:UN SDG mapping,2023,1
other:Wasserstein distance approximation,2023,1
other:Wasserstein distance optimization,2021,1
other:abbreviation expansion,2021,1
other:absent keyphrase generation,2022,1
other:abstract segmentation,2023,1
other:acceptability judgment,2021,1
other:active learning,2022,1
other:active learning evaluation,2024,1
other:active learning for NLG,2023,1
other:active learning with training dynamics,2021,1
other:adapter differentiation for task correlation,2022,1
other:adversarial injection,2024,1
other:adversarial text generation,2023,1
other:adversarial training,2021,1
other:affective response generation,2021,1
other:affective responses to music,2022,1
other:affective state identification,2024,1
other:agent modeling in LMs,2022,1
other:algorithmic reasoning,2024,1
other:alignment dynamics,2022,1
other:alignment for information extraction,2024,1
other:ambiguity handling in LLMs,2024,1
other:ambiguity recognition,2023,1
other:ambiguity resolution,2024,1
other:analogical reasoning,2024,1
other:analogy mapping,2023,1
other:analogy reasoning,2022,1
other:ancient script analysis,2022,1
other:angle-based similarity for contrastive learning,2024,1
other:animal communication,2024,1
other:annotator personalization,2022,1
other:annotator perspective modeling,2023,1
other:annotator representation modeling,2023,1
other:anomaly detection,2023,1
other:answer equivalence evaluation,2022,1
other:argument generation,2022,1
other:argument mining framework,2023,1
other:argument mining generative modeling,2022,1
other:argument quality assessment,2024,1
other:argumentative essay generation,2024,1
other:artificial language learning,2023,1
other:aspect sentiment classification continual learning,2021,1
other:aspect-based sentiment analysis,2021,1
other:aspect-level sentiment analysis,2021,1
other:attention mechanism optimization,2024,1
other:attention-MLP interaction,2024,1
other:attitude-guided rebuttal generation,2023,1
other:attitudes opinions values evaluation,2024,1
other:audio watermarking,2024,1
other:author de-anonymization defense,2023,1
other:author diarization,2024,1
other:authorship attribution,2023,1
other:authorship attribution with Bayesian LLMs,2024,1
other:authorship representation learning,2022,1
other:authorship verification,2021,1
other:authorship verification,2022,1
other:authorship verification,2024,1
other:autoformalization,2024,1
other:automated essay scoring,2024,2
other:automated peer review,2024,1
other:automated story generation with commonsense,2022,1
other:automated weakness detection,2024,1
other:automatic evaluation models,2024,1
other:automatic prompt augmentation,2023,1
other:automatic readability assessment,2023,1
other:autoregressive score generation,2024,1
other:autoregressive structured prediction,2022,1
other:auxiliary task selection,2021,1
other:bachelor recognition,2021,1
other:back-training method,2021,1
other:backtranslation for error detection,2023,1
other:behavioral coding in psychotherapy,2022,1
other:belief alignment in LLM agents,2024,1
other:belief alignment modeling,2022,1
other:belief revision,2024,1
other:belief tracking,2022,1
other:benchmark release,2023,1
other:bi-directional detector-corrector framework,2024,1
other:bias mitigation in CRS,2023,1
other:bidding graph modeling,2021,1
other:bidirectional language modeling,2024,1
other:bilingual lexicon induction,2021,1
other:bilingual lexicon induction,2022,2
other:bilingual lexicon induction with LLMs,2023,1
other:bilingual synchronization,2022,1
other:biography generation,2022,1
other:boolean logic reasoning,2023,1
other:brain alignment mechanisms,2024,1
other:cascaded vision-language models,2024,1
other:case outcome classification,2023,1
other:case-based reasoning,2021,1
other:causal analysis,2024,1
other:causal direction in NLP,2021,1
other:causal discovery in research trends,2023,1
other:causal effect estimation in NLP,2023,1
other:causal inference,2022,1
other:causal inference for LLM adaptation,2024,1
other:causal inference from text,2023,1
other:causal inference in LLMs,2024,1
other:causal inference with text and numerical data,2021,1
other:causal intervention,2023,1
other:causal modeling,2024,1
other:causal rationale detection,2023,1
other:causal reasoning datasets,2023,1
other:causal relation extraction,2022,1
other:causality explanation generation,2023,1
other:causality graph modeling,2024,1
other:chain-of-thought prompting,2023,1
other:chapter ordering,2022,1
other:character representation,2024,1
other:character similarity metric learning,2023,1
other:character understanding,2023,1
other:chart generation,2024,1
other:citation graph analysis,2024,1
other:citation prediction methods,2024,1
other:classical Chinese poetry generation,2022,1
other:classification post-processing,2021,1
other:clause recommendation,2021,1
other:clean-label backdoor attacks,2024,1
other:clinical data generation,2023,1
other:clinical reasoning enhancement,2024,1
other:clinical triage,2024,1
other:clinical trial report NLI,2023,1
other:cloze distractor generation,2022,1
other:cloze explanation generation,2023,1
other:co-teaching ensemble learning,2021,1
other:code generation for VQA,2023,1
other:code membership inference,2024,1
other:code prompting for reasoning,2024,1
other:code representation for parsing,2024,1
other:code vulnerability detection,2022,1
other:code-switching data representativeness,2023,1
other:code-switching error correction,2023,1
other:code-switching evaluation,2023,1
other:code-switching metrics with intonation units,2023,1
other:cognitive appraisal modeling,2023,1
other:cognitive bias mitigation,2024,1
other:cognitive development alignment,2024,1
other:cognitive distortion detection,2023,2
other:cognitive dynamics in LLMs,2024,1
other:cognitive modeling with LMs,2022,1
other:cognitive tree reasoning,2023,1
other:coherence assessment,2023,1
other:coherence detection and rewriting,2024,1
other:collaborative IE framework,2024,1
other:color term usage in color-blindness,2022,1
other:column name expansion,2023,1
other:commentary generation,2024,1
other:commonsense causality,2024,1
other:commonsense evaluation,2023,1
other:commonsense inference,2021,1
other:commonsense knowledge,2022,1
other:commonsense reasoning with discourse connectives,2022,1
other:comparative reasoning,2023,1
other:complex instruction evaluation,2024,1
other:complex span annotation,2024,1
other:complex word identification,2024,1
other:complexity-theoretic evaluation framework,2023,1
other:compositional generalization,2021,1
other:compositional generalization,2022,2
other:compositional generalization,2023,3
other:compositional generalization,2024,1
other:compositional generalization in graph reasoning,2024,1
other:compositional representation learning,2023,1
other:compositionality diagnosis,2022,1
other:compositionality in mathematical reasoning,2024,1
other:compositionality in neural models,2024,1
other:computational creativity,2024,1
other:computational expressivity of RNN language models,2023,1
other:computational framing analysis,2022,1
other:computational meme understanding,2024,1
other:concept extraction,2022,1
other:concept prerequisite learning,2022,1
other:concept representation,2023,1
other:conceptual knowledge probing,2022,1
other:conceptual role learning,2023,1
other:conditional generative matching,2021,1
other:conditional natural language inference,2023,1
other:conditional semantic textual similarity,2023,1
other:conditioned sentence representation,2024,1
other:consistency evaluation,2024,1
other:consistency identification,2021,1
other:consistency regularization,2022,1
other:construction grammar probing,2022,1
other:content planning in data-to-text generation,2021,1
other:context modeling,2021,1
other:context-aware adapter tuning,2024,1
other:context-aware evaluation,2022,1
other:context-invariant structure learning,2022,1
other:contextual faithfulness in LLMs,2023,1
other:contextual privacy protection,2024,1
other:contextual query rewriting,2023,1
other:contextualized discourse representation,2021,1
other:continual few-shot learning,2021,2
other:continual learning,2023,1
other:continual learning,2024,1
other:continual learning calibration,2022,1
other:continual learning for mixed tasks,2023,1
other:continual learning for vision-and-language,2023,1
other:continual learning in LMs,2022,1
other:continual text classification,2023,1
other:continuous-time dynamic embeddings,2021,1
other:contradiction detection and modification,2024,1
other:contrastive completion coding,2021,1
other:contrastive conditioning,2022,1
other:contrastive learning,2021,1
other:contrastive learning,2022,1
other:contrastive learning,2023,1
other:contrastive learning for OpenKGs,2022,1
other:contrastive learning for code search,2023,1
other:contrastive learning for generation,2021,1
other:contrastive learning improvements,2023,1
other:contrastive learning with knowledge distillation,2023,1
other:contrastive textual explanations,2022,1
other:controllability in generation,2022,1
other:controllable code-switched generation,2022,1
other:controllable data generation,2023,1
other:controllable generation,2022,1
other:controllable generation,2023,1
other:controllable recipe editing,2022,1
other:controllable semantic parsing,2021,1
other:controlled generation evaluation,2023,1
other:controlled graph translation,2024,1
other:controlled text generation,2021,1
other:conversation redirection measure,2024,1
other:conversational recommendation alignment,2022,1
other:conversational recommender systems,2021,1
other:conversational recommender systems,2024,1
other:coordinated topic modeling,2022,1
other:copy-paste operations,2024,1
other:copyright compliance,2024,1
other:counter-contrastive learning for language GANs,2021,1
other:counter-narrative generation,2024,1
other:counterfactual data augmentation,2021,1
other:counterfactual data augmentation,2022,3
other:counterfactual detection,2021,1
other:counterfactual evaluation,2024,1
other:counterfactual generation,2024,1
other:counterfactual inference,2022,1
other:counterfactual intervention,2024,1
other:counterfactual thinking,2024,1
other:creative problem solving,2024,1
other:creative story generation,2024,1
other:critique-based safety evaluation,2024,1
other:cross-dataset generalization,2024,1
other:cross-domain code vulnerability detection,2023,1
other:cross-field citation analysis,2023,1
other:cross-instance similarity quantification,2024,1
other:cross-lingual chain-of-thought prompting,2023,1
other:cross-lingual entity alignment,2024,1
other:cross-lingual meta-learning,2023,1
other:cross-lingual multi-step reasoning,2024,1
other:cross-lingual prompting,2023,1
other:cross-lingual syntactic transfer,2022,1
other:cross-lingual transfer,2023,1
other:cross-lingual transfer with dictionary-based graph,2021,1
other:cross-modal and cross-lingual grounding,2023,1
other:cross-modal attention,2023,1
other:cross-modal concept bottleneck models,2023,1
other:cross-modal retrieval with long texts,2024,1
other:cross-model communication,2023,1
other:cross-task dependency learning,2022,1
other:crowd intelligence,2023,1
other:cultural adaptation,2024,1
other:cultural commonsense knowledge,2024,1
other:cultural diversity,2022,1
other:cultural variation,2023,1
other:curriculum learning,2024,1
other:curriculum learning for text graphs,2023,1
other:data augmentation,2024,1
other:data cleaning,2023,1
other:data labeling with LLMs,2021,1
other:data mixing optimization,2024,1
other:data projection,2021,1
other:data scaling,2022,1
other:data-centric AI,2024,1
other:data-driven storytelling,2024,1
other:data-flow validation,2024,1
other:data-generation zero-shot learning,2024,1
other:data-to-text generation,2021,2
other:data-to-text generation,2023,1
other:data2text generation,2021,1
other:dataset characterization,2024,1
other:dataset creation,2022,1
other:dataset interaction analysis,2023,1
other:dataset release,2023,1
other:dataset survey,2021,1
other:de-stigmatization,2024,1
other:debugging visual programs,2024,1
other:decision making with dynamic memory,2023,1
other:decision-making under pressure,2024,1
other:decoding intervention,2023,1
other:decontextualization,2023,1
other:deep clustering optimization,2023,1
other:defeasible commonsense norms,2023,1
other:defeasible moral reasoning,2023,1
other:definition modeling,2022,2
other:degree modifiers,2023,1
other:democratization analysis,2024,1
other:deontic modality detection,2022,1
other:depth-wise aggregation,2023,1
other:detectability index,2023,1
other:diachronic semantics,2021,1
other:diagnostic evaluation,2021,1
other:dialect adaptation,2023,1
other:dialect identification,2022,1
other:dialogue comprehension modeling,2022,1
other:dialogue evaluation with LLM prompting,2023,1
other:dialogue quality assessment,2023,1
other:dialogue-based contrastive learning,2021,1
other:dictionary-assisted contrastive learning,2022,1
other:diffusion language modeling,2023,1
other:diffusion language models,2024,1
other:diffusion models for sequence labeling,2023,1
other:diffusion models for text generation,2023,1
other:directed semantic graph for text generation,2021,1
other:directional entailment,2021,1
other:discourse classification,2021,1
other:discourse coherence assessment,2023,1
other:discourse modeling,2021,1
other:discourse relation recognition,2022,1
other:discourse segmentation,2021,1
other:discrete latent variables,2021,1
other:disinformation detection,2023,2
other:distractor generation,2024,1
other:distributed text analysis framework,2023,1
other:diversity enhancement,2023,1
other:document logical structuring,2024,1
other:document-level NLI,2022,1
other:document-level paraphrase generation,2021,1
other:domain transfer in text classification,2023,1
other:domain-specific neuron analysis,2024,1
other:dual use ethics,2023,1
other:dynamic heuristic reasoning,2024,1
other:dynamic pruning,2022,1
other:dynamic semantic analysis,2024,1
other:dynamic sparse finetuning,2023,1
other:dynamic vocabulary generation,2024,1
other:editable memory graphs,2024,1
other:editing process modeling,2022,1
other:efficient RNN-transformer hybrid,2023,1
other:efficient fine-tuning,2024,1
other:electronic circuit design from text,2023,1
other:embedding axis ordering,2024,1
other:embedding geometry,2023,1
other:embedding inversion,2023,1
other:embedding stability analysis,2021,1
other:embodied sequence modeling,2023,1
other:emergent communication compositionality,2024,1
other:emerging topic detection,2021,1
other:emoji prediction,2022,1
other:emotion alignment,2024,1
other:emotion annotation,2022,1
other:emotion classification with MoE,2024,1
other:emotion detection,2021,1
other:emotion embeddings,2021,1
other:emotion granularity,2024,1
other:emotion recognition,2024,1
other:emotion support conversation,2024,1
other:empathic similarity modeling,2023,1
other:empathy quantification,2024,1
other:empowering language,2023,1
other:end-to-end KGQA,2021,1
other:ensemble boosting method,2021,1
other:enthymeme detection and reconstruction,2023,1
other:entity adaptation across languages,2021,1
other:entity alignment,2022,1
other:entity embedding completion,2022,1
other:entity encoding,2024,1
other:entity type injection in text generation,2021,1
other:entity-aware metric,2024,1
other:entity-centric VQA,2024,1
other:environment manipulation,2022,1
other:epistemology in LLMs,2024,1
other:error correction training strategy,2022,1
other:error generation,2024,1
other:error verification,2024,1
other:ethical concepts,2022,1
other:ethical reasoning framework,2023,1
other:ethical terminology analysis,2023,1
other:ethics in abuse detection,2021,1
other:evaluator LM training,2024,1
other:evidence association,2021,1
other:evidential closure,2023,1
other:execution-based program selection,2022,1
other:execution-guided pretraining,2022,1
other:experience notebook for LLM task solving,2023,1
other:explainable adaptive testing,2024,1
other:explainable personality recognition,2024,1
other:explanation graph generation,2021,1
other:explanation regularization,2022,1
other:explanatory sentence detection,2021,1
other:explicit memory learning,2024,1
other:expository text generation,2023,1
other:expression tree decoding,2023,1
other:extensional learning,2023,1
other:extractive memorization,2022,1
other:extreme multi-label classification,2022,1
other:extreme multi-label classification,2024,3
other:extremely weakly supervised text classification,2023,1
other:eye movement analysis,2024,1
other:fMRI-based semantic decoding,2024,1
other:faithfulness evaluation,2022,1
other:fallacy detection,2024,1
other:fast weight programmers,2023,1
other:feature extraction,2024,1
other:feedback attribution,2021,1
other:feedback generation for writing improvement,2024,1
other:feedback mechanisms,2024,1
other:few-shot cross-lingual transfer,2022,1
other:field analysis and community study,2023,1
other:figurative language understanding,2022,1
other:figurative language understanding,2023,1
other:figure caption evaluation,2023,1
other:financial NLP evaluation,2023,1
other:financial market prediction model,2024,1
other:financial volatility prediction,2023,1
other:fine-grained capability evaluation,2024,1
other:fine-grained category discovery,2022,1
other:fine-grained category discovery,2023,1
other:fine-grained category discovery,2024,1
other:fine-grained classification,2024,1
other:fine-grained compositional reasoning,2024,1
other:fine-grained emotion classification,2024,1
other:fine-grained explanation structure,2022,1
other:fine-grained reading comprehension prediction,2024,1
other:fine-grained visual categorization,2024,1
other:fine-grained visual knowledge integration,2023,1
other:fine-tuning performance prediction,2022,1
other:fingerspelling identification,2024,1
other:font reconstruction,2021,1
other:food culture understanding,2024,1
other:forecast aggregation with justifications,2021,1
other:formal mathematical proof reduction,2023,1
other:formal theorem proving,2024,1
other:formal theorem proving with backward chaining,2024,1
other:frame identification,2023,1
other:frozen initialization,2023,1
other:future link forecasting,2021,1
other:game commentary generation,2022,1
other:game dialogue generation,2024,1
other:gaze prediction,2023,1
other:gender-neutral rewriting,2023,1
other:generate-then-select framework,2024,1
other:generative discriminator guidance,2021,1
other:generative prompt tuning,2022,1
other:geo-diverse commonsense inference,2023,1
other:geo-diverse commonsense probing,2022,1
other:geographical attribution,2024,1
other:geometry problem solving,2022,1
other:geospatial analysis,2021,1
other:glossing,2024,1
other:goal-driven explainable clustering,2023,1
other:grammar concept extraction for L2 learning,2023,1
other:grammar induction,2024,1
other:grammar-constrained decoding,2023,1
other:grammatical error correction,2021,1
other:grammatical error correction,2022,3
other:grammatical error correction,2023,1
other:grammatical error correction,2024,1
other:grammatical knowledge induction,2024,1
other:graph attention networks,2021,1
other:graph embedding,2021,1
other:graph pre-training,2023,1
other:graph prompt learning,2024,1
other:graph residual networks,2021,1
other:graph-based CN generation,2024,1
other:graph-based text classification,2023,1
other:graph-to-text generation,2021,1
other:grid puzzle reasoning evaluation,2024,1
other:grounded compositional generalization,2022,1
other:grounded language understanding,2021,1
other:grounded word meaning,2021,1
other:grounding-based metaphor binding,2024,1
other:growth mindset language,2023,1
other:hallucination categorization,2023,1
other:hallucination mitigation,2023,1
other:hallucination quantification,2023,1
other:hallucination/omission detection,2023,1
other:handwritten mathematical expression recognition correction,2023,1
other:handwritten text error detection,2023,1
other:harm documentation,2022,1
other:header sign identification,2022,1
other:heart sound diagnosis,2024,1
other:heritage NLP,2021,1
other:heterogeneous graph attention,2023,1
other:hierarchical composition,2023,1
other:hierarchical contrastive learning,2023,1
other:hierarchical expert verification,2024,1
other:hierarchical heterogeneous graph learning,2021,1
other:hierarchical multi-label classification,2021,1
other:hierarchical multi-label classification,2022,1
other:hierarchical text classification,2022,1
other:hierarchical text rating,2024,1
other:hierarchical topic modeling with anchor words,2024,1
other:high-order interaction modeling,2024,1
other:highlighting in metaphors,2023,1
other:hint generation,2024,1
other:historical discourse analysis,2024,1
other:homophony quantification,2021,1
other:human judgment distribution approximation,2024,1
other:human-LLM co-annotation,2023,1
other:humor detection,2021,1
other:humor detection,2023,1
other:humor prediction,2022,1
other:humor understanding,2023,1
other:humour rating,2021,1
other:hyperbole generation,2021,1
other:ideological worldview alignment,2021,1
other:image transcreation,2024,1
other:imbalanced text classification,2021,1
other:implicit discourse relation recognition,2022,1
other:implicit discourse relation recognition,2023,1
other:implicit discourse relation recognition,2024,1
other:implicit vocabulary probing,2024,1
other:in-context compositional generalization,2024,2
other:in-context demonstration selection,2023,1
other:in-context example selection,2023,2
other:in-context generation theory,2024,1
other:in-context learning,2024,1
other:in-context learning alignment,2024,1
other:in-context learning analysis,2022,1
other:in-context learning exemplars,2024,1
other:in-context learning instability,2024,1
other:in-context learning mechanism,2023,1
other:in-context learning mechanism,2024,1
other:incremental text classification,2023,1
other:independent causal mechanisms,2024,1
other:inductive bias in LSTMs,2023,1
other:inductive biases in LMs,2022,1
other:inductive reasoning augmentation,2023,1
other:inference-time alignment,2024,1
other:influence tuning,2021,1
other:information distribution in L2 writing,2024,1
other:instruction category analysis,2024,1
other:instruction execution in grounded domains,2021,1
other:instruction learning challenges,2022,1
other:instruction meta-dataset,2024,1
other:instruction variety,2024,1
other:integer programming inference,2022,1
other:integrated reasoning framework,2023,1
other:integrative negotiation,2023,1
other:intensional learning,2023,1
other:intent classification,2024,1
other:intent discovery,2023,1
other:intent-based duplicate question detection,2023,1
other:intention understanding,2022,1
other:intention understanding in social intelligence,2024,1
other:inter-annotator agreement metrics,2023,1
other:interactive ToM evaluation,2023,1
other:interactive testing tool,2023,1
other:interactive text generation,2023,1
other:interpretable sentence embeddings,2023,1
other:invertible event transformation,2022,1
other:isomorphism in embedding spaces,2022,1
other:item difficulty estimation,2021,1
other:iterated language learning with neural agents,2021,1
other:iterative prompting for chain of thought,2022,1
other:iterative retrieval,2024,1
other:iterative text revision system,2022,1
other:judicial decision-making agents,2024,1
other:key visual entity identification,2024,1
other:keyphrase generation,2022,2
other:keyphrase generation,2023,1
other:keyphrase generation calibration,2022,1
other:keyphrase generation domain adaptation,2024,1
other:keyphrase generation with LLMs,2024,1
other:keyphrase-question-answer generation,2021,1
other:keyword mnemonics generation,2024,1
other:knowledge allocation in LLMs,2024,1
other:knowledge awareness,2024,1
other:knowledge conflict measurement,2024,1
other:knowledge conflicts,2024,1
other:knowledge differentiation,2023,1
other:knowledge distillation for reasoning,2023,1
other:knowledge editing conceptual knowledge,2024,1
other:knowledge estimation,2024,1
other:knowledge fusion,2023,1
other:knowledge generation,2023,1
other:knowledge graph completion,2024,2
other:knowledge probing benchmark,2024,1
other:knowledge utilization,2024,1
other:label propagation,2022,1
other:label synset augmentation,2024,1
other:label-dependent noise denoising,2024,1
other:language change in instruction following,2021,1
other:language coherence for dementia monitoring,2023,1
other:language development assessment,2024,1
other:language disentanglement,2022,1
other:language emergence in multi-entity referential games,2024,1
other:language evolution,2024,1
other:language identification,2023,1
other:language resource equity,2023,1
other:language selection diversity,2024,1
other:language to action,2024,1
other:language to program synthesis,2021,1
other:language understanding theory,2023,1
other:language-specific LLM adaptation,2024,1
other:language-specific evaluation,2024,1
other:latent pseudo label mapping,2022,1
other:latent reasoning skills,2024,1
other:latent space optimization,2021,1
other:layout attention with gaussian biases,2023,1
other:layout generation,2024,1
other:layout-aware GUI understanding,2024,1
other:lazy-k decoding,2023,1
other:learning capabilities evaluation,2024,1
other:learning dynamics analysis,2023,1
other:learning from interaction,2024,1
other:legal NLP interdisciplinary analysis,2023,1
other:legal court view generation,2024,1
other:legal document processing,2024,1
other:legal judgement prediction,2024,1
other:legal judgment prediction,2022,1
other:legal judgment prediction,2023,2
other:legal judgment prediction,2024,1
other:legal knowledge integration,2024,1
other:legal reasoning,2024,1
other:legal reasoning classification,2023,1
other:legal statute prediction,2023,1
other:length control,2024,1
other:length control in LLMs,2024,1
other:level of dialectness quantification,2023,1
other:leveled reading classification,2021,1
other:lexical inference in context,2021,1
other:lexically constrained NMT,2024,1
other:lexically constrained generation,2024,1
other:lifelong benchmark,2022,1
other:lifelong sequence generation,2023,1
other:linear transformers,2023,1
other:linguistic analysis,2023,1
other:linguistic bias mitigation,2023,1
other:linguistic chaining,2021,1
other:linguistic concept learning benchmark,2023,1
other:linguistic disorder markers in dementia,2023,1
other:linguistic generalisation,2023,1
other:linguistic minimal pairs evaluation,2024,1
other:linguistic probing,2023,1
other:linguistic typology,2024,2
other:link prediction,2022,1
other:listwise ranking,2024,1
other:local and global soft bias,2022,1
other:logic,2022,1
other:logic-guided entity recognition,2023,1
other:logical consistency analysis,2023,1
other:logical fallacy detection,2024,1
other:logical prompt-enhanced learning,2022,1
other:logical query answering,2022,1
other:logical reasoning,2022,1
other:logical reasoning evaluation,2024,1
other:logical reasoning explanations,2022,1
other:logical rule mining,2022,1
other:logical structure analysis,2024,1
other:long document modeling,2021,1
other:long-form story generation,2022,1
other:long-form table QA evaluation,2024,1
other:long-tail data generation,2024,1
other:loop invariant synthesis,2023,1
other:loophole behavior,2023,1
other:lottery ticket hypothesis,2023,1
other:low-resource NLG benchmark,2021,1
other:low-resource automatic program repair,2023,1
other:lyric-to-melody generation,2022,1
other:machine-generated text detection,2023,1
other:marker gene selection,2024,1
other:masked path modeling,2023,1
other:masked token prediction method,2023,1
other:math curriculum alignment,2024,1
other:math problem generation,2024,1
other:math problem tagging,2024,1
other:math word problem generation,2021,1
other:math word problems,2021,1
other:math word problems,2023,1
other:mathematical reasoning,2022,1
other:mathematical reasoning with graph neural networks,2021,1
other:measurement extraction,2022,1
other:media framing,2021,2
other:media storm modeling,2023,1
other:medical report generation,2023,1
other:medical term normalization,2022,1
other:medical tool integration,2024,1
other:memorization analysis,2023,1
other:memory-assisted prompt editing,2022,1
other:memory-augmented reasoning,2023,1
other:mental disorder detection,2023,1
other:mental health monitoring,2023,1
other:meta learning,2022,1
other:meta-embedding debiasing,2022,1
other:meta-embedding evaluation,2021,1
other:meta-learning,2023,1
other:meta-learning for objective sampling,2022,1
other:meta-learning gradient regularization,2021,1
other:metaphor detection,2023,2
other:metaphor identification,2021,1
other:metaphor illustration,2024,1
other:metaphorical relation extraction,2023,1
other:mining-based zero-shot learning,2022,1
other:misinformation mitigation,2023,1
other:misleading content detection,2023,1
other:missing modality inference,2022,1
other:mixture of pretraining objectives,2023,1
other:modal verb function classification,2022,1
other:model collapse,2023,1
other:model debugging,2021,1
other:model editing,2024,1
other:model editing benchmark,2023,1
other:model editing bias amplification,2024,1
other:model editing for commonsense,2023,1
other:model editing for error mitigation,2024,1
other:model editing methods,2024,2
other:model editing robustness,2024,1
other:model extraction attacks,2023,1
other:model merging,2024,3
other:model merging for multi-task learning,2024,1
other:model merging for multimodal transformers,2023,1
